,title,review
0," I watched Ana de Armas glitter in the dark near the Tannhäuser Gate
","Blade Runner 2049 is a continuation of 1982's Blade Runner a seemingly impossible task. Against all odds and logic, the movie pulls it off.The Good: The greatest thing about the sequel is simply the story. Without delving into spoiler territory Blade Runner 2049 concludes with an ending that works with an internal logical sense and yet still surprises. There are so many good decisions throughout this production one could hardly list them all. The idea of keeping the cold war and old Iconic brands from the first movie works brilliantly and the overall look and feel of this movie are timeless. Blade Runner 2049 does not try to pigeonhole its narrative into the concerns of today. It does not wink at the fears of today's audience. It is its own self-contained universe telling a story that will work fifty years from now and would have worked just as strongly fifty years ago.The acting is strong across the board with Harrison Ford appearing as if he actually wants to be in the film (and looking fit to boot). Also, Ana de Armas needs to be in every movie moving forward. A truly star-making turn.
The Bad: A combination of a long running time, a leisurely pace and a soundtrack from a health spa can put one in a catatonic state if one is not careful. I confess a strong ending brought me back into the film It was losing me for a while there.In Conclusion: This movie sticks to the ribs after viewing. It seemed even better in retrospect than during the actual viewing (see leisurely pace above). Blade Runner 2049 pulls off effortlessly decisions that could seem disastrous in other films (Jared Leto). In many ways, it is better than the first film and better than it had any right to be. A triumph."
1," Blade Runner 2049 - Movie Review: A New-Age Sci-Fi Classic
","For film fanatics like myself, Blade Runner 2049 is a great film for people to see, regardless if they've witnessed the original or not. On the other hand, if you've never seen the original Blade Runner and are just a casual moviegoer that have thought of the promotion for this film as being an action-packed thrill ride, then I'd have to warn to stay far away from this near three hour motion picture. It's very hard to review this film without getting into specific plot details, but that's exactly what makes this film worth the price of admission alone. For nearly every reason a film fan should be excited about a movie, here is why Blade Runner 2049 is a must see as soon as possible. Before dropping you into this world with Ryan Gosling's character, there is text at the beginning that will fill you in on the history of the events in the past, but even though that information is given to you, your experience just won't be the same without having viewed the first film multiple times and remembering the emotional core of it. Set out on a mission to find something of meaning to the overall story, Ryan Gosling's character (who will remain nameless for the sake of this review) uncovers mysteries and secrets from the past, inevitably involving Rick Deckard. Quite honestly, that's the plot in a nutshell and the specifics of the film will lead to ruining your experience, so let's get technical. If not for anything else, Blade Runner 2049 benefits from some of the best cinematography I've laid my eyes on in years. From the addition of the seamlessly blended visual effects, to the mind- blowing scenery constructed by the entire art department, I have nothing but praise for this film. Whether or not you find yourself enjoying your experience, the visuals alone should have you applauding, due to their incredibly detailed nature. I personally found the overall film to be magnificent, but when certain scenes were dialogue-free and asking you to gasp at the imagery, that's exactly what I was doing, as I feel many audiences members will. Again, without giving anything away, once Rick Deckard (Harrison Ford) enters the picture, the way both films sort of interconnect was brilliant in my opinion. It does justice to any loose ends that fans may have wanted in the past, as well as create a new story to gawk at in the process. With a terrifically restrained performance by Ryan Gosling, you'll find yourself sucked into this world as a fly on the wall, as he uncovers these mysteries. With the addition of Harrison Ford giving one of his most sincere and memorable performances, as well as Ana de Armas in a role that really took me by surprise, this film was casted to the nines from beginning to end. Some may complain about Jared Leto and Dave Bautista not being included as much, but I felt as though the served the story quite nicely. In the end, this movie aims to impress Sci-Fi fans across the world, but I feel as though the people who will be looking back on this as a possible classic or at least one of the best sequels ever made, are those who've had the pleasure of indulging in the greatness that is 1982's Blade Runner. I don't say this about films very often, especially when talking about sequels, but I haven't been this immersed in a theatrical experience in quite some time. This is definitely a superior film than the original, it's one of the best films of 2017, and I'll be revisiting it very soon. Blade Runner 2049 is getting a lot of praise and awards consideration from critics and filmgoers across the world, and every bit of it is deserved. Aside from being very long, this is pretty much a perfect film if you don't try to nitpick how it connects and certain questions that aren't blatantly answered. If you know what type of film you're in for, or you've at least seen the original and enjoyed it, I can't recommend this movie enough."
2," One of the best sequels of all time
","Denis Villeneuve, you magnificent world wonder, you did it again!I have seen this film three times in the cinema, in 3D, 2D and 4DX.And one of the things i have noticed with this film, is that it's not the time in the cinema that takes up my time, It's the hours upon hours in between spent thinking about the film, that is the real time consumer. This film left such a deep and profound impact, which i cannot escape. And I've gone back to the cinema twice to be ""tortured"", but it's worth it.It's a dark, mysterious, grim, hopeless, sad and lonely film, set in a possible near future where the human race is hanging by their fingertips on the edge of doom. So it's quite depressing. But it's so brilliantly put together, the closest master of cinema i think of that has done something similar, is Stanley Kubrick.Many Stanley Kubrick films were also ""hated"" by many when they first released. ""2001: A Space Odyssey"" for example, which had gorgeous visuals, but felt flat and hollow for many, even professional reviewers back then. But what Kubrick did best with his films, was to create afterthought. People left the cinema feeling confused and even depressed, but the movies planted a seed which then grew for years. The original Blade Runner also accomplished this. BR2049 is no exception, this movie will without doubt live on to be interpreted, analyzed and discussed for decades to come. The story continues from the original, but stands completely on it's own, it tells a new story that directly interlink with the original, but without trying to be a copy, it's a natural continuation in the same universe. You don't have to see the original Blade Runner first, though i do recommend it, see the final cut.BR2049 has some of the most gorgeous visuals i have ever seen, and the cinematography is out of this world, there is literally no excuse not to give Roger Deakins the Oscar this time. After 13 nominations he has now knocked the ball out of the park and is this year in his own league entirely. It's confusing to look at something so gorgeous, whilst painting a picture of such a sad and lost world. It sort of collides with your senses, your eyes say it's beautiful, your mind say it's depressing. Which senses are you going to believe? What does it mean? At least don't confuse feeling depressed as a sign that this movie is bad, it's nothing wrong feeling depressed, take it in, embrace it. Then you will know how it feels to be a replicant that's trapped in a caged mind.BR2049's story happens 30 years after the original, and there is three short films on Youtube i recommend you watch. These short films describes some of what happened in between 2019 and 2049. Watching them makes it slightly easier to understand some of the things going on. But the underlying theme is the same as it was in the original. What does it mean to be human? What does it mean to have memories? What is a soul? And so on.The world has gone darker in 2049, climate is spinning out of control, almost all animals and plants have died. People are desperate and lost, law enforcement can barely keep anything together, and only a small spark can set of total disaster, which is looming just around every corner. Niander Wallace has taken over Tyrell Corp and has by the time 2049 takes place designed millions of obedient replicants that does exactly what he tells them to do. But there is one thing Wallace has not been able to perfect, and that's what the main story is all about, and Wallace will do anything in his power to get his hands on the ""technology"", which will result in him becoming many hundred times richer and more powerful, the sole ruler of the entire universe. He is so far gone in his mind by 2049 he actually believes he is god himself, and he calls his replicants angels.And of course he also uses replicants to do his ""dirty work"". In 2049 we meet his right hand ""girl"" Luv (Brilliantly played by Sylvia Hoeks, if there is one actor in this movie that steal the show, it's her). Luv is a ""handygirl"" so to speak, that perform whatever task she is set to do, with no remorse. Or is that entirely true? I can't spoil anything, but look closely at Luv's character arc. All the other actors also do an outstanding job in this film, no bad performances, but i can't talk about all of them due to the word limit in these reviews.Be prepared going to see this film, it's depressing and heavy on your mind, and it demands your full attention. It's one of those rare films who dares to challenge the audience, and by doing so, taking a huge risk, and a 155 million dollar risk at that. The film isn't perfect, but it's close, and it shows the tremendous skills of Denis Villeneuve. And those few mistakes this movie have, are probably just happy little accidents as Rob Ross would have put it. This film is very much like a painting, every stroke of the brush matters, and every little detail is carefully crafted, it takes monumental skills to pull it of.I loved this film, it's the best film I've seen all year, It is a must see, a monumental triumph of a film that's just as good (possibly even better) as the original and one of the best sequels of all time!9.7/10 - MasterpieceAnd BTW Villeneuve's next movie might be Dune, imagine if he brings Deakins and the rest of this team to make that movie. Yeah, I'm going to leave you with that thought. This is basically porn."
3," Beautiful Atmosphere and an Interesting Mystery Help Blade Runner 2049 Continue a Classic Story
","I've only seen the original Blade Runner once and it was a long time ago. I liked it but I just haven't got around to revisiting it. I mention this because even though I'm not a die-hard fan of Blade Runner, I still found the plot of 2049 engrossing. It's a well put together mystery, I found that they constantly took the plot in unexpected directions and other than the trailer spoiling the return of Deckard, I was always excited about what was going to happen next. The movie pulls an excellent bait and switch at the end that really surprised me. They made the right decision to not repeat the formula of the first one and take the story to a new place. They also create some compelling subplots which is something that few movies get right.The biggest star of this movie is the cinematography and the excellent work of Roger Deakins. The original was noteworthy with the special environment that Ridley Scott and his creative team brought to the screen. That was continued here if not improved upon. The look of L.A. in 2049 they decided to go with isn't completely distinct but it was a little more understated (I'd compare it to the 2017 Ghost in the Shell but less fantastical). My favourite scene might have been a shootout in a defunct club where the lighting and the background show are turning on and off. I don't hesitate to praise when a movie looks good but this is an exemplary example of using visuals and atmosphere to help build on a strong story.Blade Runner 2049 returns very few of the characters from the original film but they manage to breathe life into this movie through the new ones they created. Officer K isn't the most lively protagonist but he gets an eye-opening character arc that kept me involved. Deckard doesn't appear till later in the movie but he remains interesting and what they decide to do with him makes his appearance worthwhile. I also really liked some of the smaller supporting characters. Sapper really helps kick off the movie, what Joi represents is extremely emotional and Mariette is so mysterious that her involvement brings up more and more questions. Add in that Niander Wallace and Luv make for pretty menacing villains and you have a pretty well-rounded and fascinating script.I don't think that the actors/actresses will be the focal point of the awards attention that this movie will get but that doesn't mean there aren't exemplary performances. Gosling is good as K, he's deliberately robotic and he accomplishes a lot through his subtlety. Harrison Ford isn't in the movie as much as I wanted him to be (he's still one of my all-time favourite actors) but he holds up his end. He works with Gosling well and they have a solid rapport. Surprisingly, I really liked Sylvia Hoeks. She stole a lot of her scenes and I thought she was great even acting against a stacked cast. Dave Bautista showed he has a lot more range than people give him credit for. Jared Leto is in a very Jared Leto role (deliberately weird and hard to understand) but he does it well and although he might be a little creepy, the guy is still a great actor. I also want to credit Ana de Armas, she was distinctly warm and she showed a lot more emotion than I had seen from her previously.There were points in this movie I could have rated this a 9/10 but some small things that I had to dock the movie for. Even with a compelling story, the movie has such a long run time that it couldn't help but drag. There are certain scenes where the movie wants you to really drink in the environment but they could have edited it a little tighter. They also couldn't help but lose me at points through how much artistic flair the utilize. Villenueve is an authority in this area and while I appreciate an artistic approach to this science fiction tale, for me they overdid it a little.I was surprised how much I ended up liking Blade Runner 2049. I think if you're a big fan of the original, you'll love this to bits. This is successful in bringing in the uninitiated but I think fans will enjoy this even more. I haven't been on board for all of Villenueve's films but this is a good combination of his artistic style with enough of a commercial element for the masses. I'd give this somewhere between an 8-9 but with the extremely long run time, I'll give this an 8/10."
4," A sleek, expensive and obedient skin-job
","Blade Runner (1982) was a happy (yet gloomy) accident, involving: a) a young and ambitious director who fought ferociously with studio executives in order for them to let him fulfill his vision; b) a rising blockbuster star who wanted to prove he can also act in a serious movie; c) a crazy Dutch actor who decided to change the script and improvise one of the most memorable monologues in film history; d) a bunch of talented artists who wanted to make a movie that would look and sound different from anything else we had seen before. And most of all, e) a post-Vietnam turbulent era when Hollywood rebels like Coppola, Scorsese and Cimino were audaciously attempting to reinvent the language of cinema, telling stories that mattered and not caring at all about target audiences and marketing trends. As a result, Blade Runner was a box office failure that slowly became a legend, breaking stereotypes like ""good guy kills bad guy at the end"" and dealing with existential agony on an almost metaphysical level; always within the context of a gritty corporate dystopia in the near future.Blade Runner 2049 is none of these things. On the contrary, it's the flawed triumph of a next generation of studio executives, who control the creative process by paying millions to the industry's best of the best, providing they will make something that will take advantage of a successful brand name in order to bring profits to shareholders. If there is one word to describe this movie, it's ""replicant"". Not the kind of replicant who realizes that ""all those moments will be lost in time, like tears in rain"" as he dies, but a sleek, expensive and obedient skin-job that will try to entertain you and if it succeeds will return as a sequel that will eventually become yet another franchise. I spent 160 minutes of my life watching a pleasant and perfectly constructed piece of nothing, and I didn't care for a moment about any of the characters or a storyline that was designed without the intention to question and redefine a single thing. All its moments have already been lost in my memory, while the original Blade Runner remains vivid in my mind, as if I only saw it yesterday."
5," Even Worse Than The 15th Marvel Film This Year (And Next.. And Next.. And Next)
",The Force Awakens (2015) + Mr Sandman (the Lullaby 1954) = Blade Runner 2049. I still was bored.
6," It Is Such An Interesting World
","There are so many tech gadgets, there are so many petty women and hot legs, there is a house wife who arranges a threesome for her man, one can own pets, there is free alcohol and so on and so forth... .... yet this movie is so boring and uninteresting.
wow how can it be? It must be the nature of sequels."
7," Bad
","Do you know why this is the worst sequel ever (aside from the crappy sequels from Disney)?
Not only it is too over-long and boring it also makes it beautiful prequel become less attractive to the viewers. That is criminal. Sure, the keywords on IMDB point out the chicks are pretty but that is not enough justification for more sequels or remakes.Hollywood, not every film needs a sequel. STOP."
8," Like Many I Used To Think Scott Ridley And Denis Villeneuve Are Good
","I know better now.These guys have destroyed Blade Runner just to release yet another sequel that should not have been made. Ridley has recently been actively destroying the Alien legacy and releasing subpar non-stories. Villenueve is going from this to yet another unneeded remake, namely Dune.In short, these guys are now in the same league as JJ Abrams, Paul Feig and Michael Bay. That is sad. Blade Runner deserved a better (and lasting) legacy.BR2049 is so long, so boring and so pointless that one really wonders. It boggles the mind that they released an expensive movie that has no point to make and no care to destroy the classicness of Blade Runner.There was a cool headquarters, cool hologram technology and advertising and sexy women. Those deserve points, but what is with the very corny and jaded dialogue? the script was bad and the lines were worse. Compare to the original Blade Runner!People, think twice before attending silly Marvel films, boring Star Wars films and the next 5 Ghostbusters. They are boring and insult your intelligence and their legacy. I am done with these thieving sequels."
9," It is not a complete disaster
","Blade Runner 2049 is not a good film, but it is not a complete disaster. A story that did not need telling and logically failed, an overlong and slow moving narrative and a massacre that makes no sense any longer were countered by original visuals and beautiful women. I will go with a rating of 4/10.The problems with this film is that it has sequeltitis. They came up with it because they needed to make money from a sequel and have no original ideas.
The massacred are peaceful and are farming. Why do it then? The story moves so slowly that the 3 hours seem like 6. The acting is not good, but moderna ctors cannot touch older ones so that is par for the course. When in the original the performance by the chief of police, his goon, the industrialist and the eye maker would rivet and excite or the strong personality of the replicants would make the blood boil here it is a paint by the number series of appearances.With that said the futuristic society is fun to watch. Even more fun is Ana de Armas, the sexy and delicious hooker and even the legs of the Chief (who is old so has short hair unfortunately). These babes add to the vista and architecture that is most pleasing to the eye in this sequel."
10," Strangely boring, lacking tension and intelligence.
","Don't believe the lying shills rating this a ten out of ten. The original Blade Runner is a masterpiece. This film is not. It only deserves a six, but I loved the original so I gave it a seven. My review will compare both films and it contains **spoilers**.First up its pacing. This film is actually much slower than the original, adding up to two hours and forty three minutes of mind numbing boredom. I love slow paced films provided there's enough drama and tension. The first Blade Runner film has long pauses, but its justified. The silence swells toward sudden violence or it occurs because a character is gnawing over a great line of dialog they've just heard or are about to express. So what makes a slow paced film entertaining? The solution is information provided at the right time.The first film immediately tells us that replicants are murderous outlaws. We see one commit murder. Some are hiding here on Earth in Los Angeles and Dekkard is forced to detect and kill them. All that information is given to the audience within the first few minutes. So when Dekkard is wandering through crowded streets of futuristic LA, we the audience are afraid for him, because any one of them could be a murderous replicant. Dear Ridley Scott repeat after me: Information creates tension.This newer film instead begins with long drawn out scenes of dull aimless searching and investigating. Since no villain shows up until the last hour, there's no reason for the hero to actually hurry or feel afraid. When the boring pace finally speeds up toward the end, you're so bored out of your skull, you forgot why anyone is doing anything and you no longer care or even notice what the film thinks is a stunning twist.Those shill reviewers are glowing about its photography. Compared to its budget, the photography is below standard. There are rare nice moments. Seeing the fusion powered spinners (those flying cars) again was nice nostalgia, but far too many albeit pretty shots of -- nothing happening -- rendered the plot all the more irrelevant.Now for the production design. The indoor set designs were poor, telling us very little about the world this film is set in. The ""production value"" looks cheap. I don't mean that in a cheap sleazy film noir way (no that would have been cool), I mean that I don't know where they spent the 185million budget, because only a fraction of that was spent on the sets. Two things did work. The voice comp device has been updated reminiscent of 1984 (the Orwell film starring John Hurt) and there is a Total Recall (the original not the remake) style artificial Female hologram character that is programmed to love K (Ryan Gosling). Interesting, but hardly ground breaking, while the original film was ground breaking in too many ways to mention here. The close up long lens shots in the original made the grimy futuristic streets of Los Angeles really look and feel like a crowded claustrophobic sleazy poverty stricken hellhole. Such a lens also gives size to any character in the foreground making Ford look all the more epic.This film used wider lenses and so the pent up tension of the original street scenes is non existent. In fact very rarely does it venture outside into the streets, so that we cannot breathe in the human polity as easily as we did in the original. The original film had real light emanating from miniature buildings, vehicles and advertising. I'm sorry but computer generated light just doesn't behave like real light does. Real light goes where it wants. The human eye cannot be fooled. Syd Mead is a genius. But looking at this film makes me think he wasn't given the power he needed to bring out this film's potential. It actually looks like some hack is trying to copy him. This makes me feel sad to write that. His work on Elysium (2013) was far superior.And now the acting. Gosling plays it straight (and glum) as he did in the pretty to look at but boring Bangkok crime flick Only God Forgives. There is a plot reason for this, but his dull acting compounds this movie's languid pace. There's not enough of Harrison Ford, who only shows up in the last hour (maybe less?). Jared Leto's monologues are just awful. Its not his fault. He's miscast and badly written.Like Mead, Philip K Dick is a genius too, both films are inspired by his literary masterwork ""Do Androids Dream of Electric Sheep"". This film didn't delve deep enough, barely scratching the intellectual surface. Since many of his concepts are incredibly visually rich that just compounds the cinematic failure here. Should you go and see this? If you're a fan of the original, I think you should. The story ends in a way that sets things up for another Blade Runner movie which I hope will actually be entertaining. This film is meant to be a science fiction noir film, but it has little of the intelligence we expect from science fiction and none of the crime solving tension that is required of film noir. It lacked the brutal immediacy of the original nexus 6 villains the first one had in spades. It lacked the tense cat and mouse hunting game that made the original so intense, a race where the lead changed more than once. It just isn't as clever as its, at times pretty visuals and constantly obnoxious soundtrack, pretends it to be.Instead we get a self important bloated fatware art-house snoozefest that is bleak, boring and about as intellectually deep as counterfeit artificial snake skin."
