,title,review
0," Dunkirk review
","Brilliant cinematography, real planes flying, real destruction of planes, the most real as possible, that's always great for films and it's one of Nolan's best quality as a director, he want real things happening on camera,
and of course Hans Zimmer original score is also brilliant.The non-linear narrative is intelligent, the mole sequences fell longer, in a good way, because the characters spend 1 week there, the sea sequences are a little bit more faster because the characters spend 1 day there and the air sequences are even faster because the characters spend 1hour there, when the 3 got together is the climax, or at least should be, that's is when the non-linear storytelling gets a little messy, some of the sequences in the third act are not puted in the best way, but the whole movie is so extremely well made in his technical stand points, written full of suspense and with an amazing original score by Hans Zimmer, that a lot people's don't realize that or they just don't care.The most negative point like i said is that some scenes don't fit very well in the non-linear agitation of the film, especially in the last half hour, and for a non-linear movie this is bad, but like i said, with all the qualities that this films has, this is not going to ruin the experience to watch.This film is also not made to be most remembered about the acting, which is not necessarily a bad thing, some peoples also says that the characters are kinda weak, which is not actually true, sure they are not as strong like the characters in Saving Private Ryan for example, but they are strong, the film just don't focus too much on them, the film is most interested on what happened in Dunkirk during that particular time in World War II. All that said, Mark Rylance is really good in this movie, he has the best lines and Cillian Murphy is also very good."
1," A short review with a longer explanation of why its OK that this movie didn't have any ""characters""
","Dunkirk is, in my opinion, yet another masterpiece from mastermind Christopher Nolan. Since everything that is brilliant about the film has already been said I will briefly write what I think of the film and also touch on a topic that some people are criticizing the movie for.The fantastically directed film is told from 3 perspectives non chronologically. It superbly tackles the narrative and the non linear story doesn't at all pull you away from the intensity of the events happening on screen that don't stop from 00:00 to the last scene. Hans Zimmer most likely gives one of the most fitting scores for a war film ever. Sometimes there is only one note playing followed by heartbeat sounds and a ticking clock while other times a massive orchestra is interpreting what is going on on screen. The movie brilliantly projects the feeling of each and every soldier on the beach to the audience. Confusion, turmoil and fear. The cinematography was breathtaking and I felt anxious throughout most of the run time. There is no lead in this film and I can't really say anyone stuck out as giving a brilliant performance because it wasn't needed and I'll explain why.The biggest criticisms of Dunkirk that I've heard of so far are that the characters are lacking in depth and that we aren't given anything to be invested in them. I feel like Nolan was trying (successfully) to make the audience care for each and every one of the men on the beach. He needed to have some form of ""main characters"" to be in the story so that we can see the events unfold from the direct perspective of all of the soldiers. Usually in war films (I'll use saving private Ryan as an example) the plot revolves around certain soldiers (like Cpt. Miller and Ryan) being in a war and doing things in the war but its still about THEM not THE WAR as much. In my opinion Dunkirk is a telling the STORY OF DUNKIRK. Not of Harry Style's character or Tom Hardy's character but of Dunkirk. What any of the ""main characters"" felt, every other soldier felt. Nolan resorted more to film-making techniques to tell the story rather than dialogue and that is why some people might have had a problem with the lack of character depth but realistically this type of terrible event wouldn't be a place for someone to ""develop"" as a character but rather a event where MEN WANTED ONLY SURVIVAL, and Nolan showed that perfectly. As for what the top review of Dunkirk on IMDb says about 'lack of emotion' in the film, I believe this to be a completely incorrect statement. Maybe he was referring to the lack of 'brotherhood amongst men' or the feeling of moral or something epic like that. Again the longing for the 'Saving Private Ryan' format of war films. What the reviewer fails to see is that realistically there was NO emotion on that beach besides fear and confusion. And I can safely say that Nolan and Zimmer and the DP all successfully gave us those feelings.9.5/10"
2," A technical masterpiece that is nearly devoid of palpable emotion and compelling characters.
","Might as well get right to it, then. At the risk of sounding like a contrarian, I did not love this film. Do I love elements of this? Yes. Is this a 5-star masterpiece? Unfortunately, no. The cinematography here at least, is masterful. Director Christopher Nolan has, without a doubt, reached the pinnacle of on-screen spectacle here. The feats of practical effects in this film are breathtaking. The casting of nearly 6,000 extras, authentic WWII vehicles, and shooting on location in Dunkirk, France contribute to a great sense of scale here. There is ongoing trend of action films in recent years of relying on CGI, and thankfully Nolan bucks that trend. Similar to War for the Planet of the Apes, much of the film plays out without much dialogue, leaning on just the score and sound design in most scenes. It almost goes without saying that Hans Zimmer delivers with another incredible score. The sound design is also extremely well crafted, which, paired with Nolan's great work behind the camera, truly transports you to the Battle of Dunkirk. The wailing of planes passing above, the drone of gunfire, and the roar of explosions all contribute to the complete immersion into the world these characters are trapped in. This results in some of the most immersive wartime action scenes since Saving Private Ryan.This film has and will continue to be compared to World War II classic Saving Private Ryan. Both films are beautifully filmed WWII period pieces with casts that deliver great performances. The similarities end there. Whereas Saving Private Ryan was engrossing as a narrative due to it's characters with depth and arcs, Dunkirk instead leans on it's subject matter and spectacle.And while the subject matter of Dunkirk is fascinating, as a film it lacks emotional firepower due to the absence of a strongly written protagonist. This is strangely uncharacteristic of a director of Nolan's caliber, especially when you recall the complex character work in his most acclaimed films: The Dark Knight, Memento, and The Prestige. Instead of focusing on a single character or single group of characters, the focus is spread across three protagonists in completely different situations. Showing the Dunkirk Evacuation through the three different perspectives of those on the beach, the sea, and the air is only an interesting proposition on paper. The narrative, due to this writing choice, is spread far too thin, with few characters getting enough screen time to develop even the mildest emotional connection.While the characters in this film aren't written to even remotely be compelling, the great work from this cast is not to be overlooked. Harry Styles, known for being a member of English boy band One Direction, is surprisingly excellent here in his acting debut. Mark Rylance, Kenneth Branagh, and Fionn Whitehead also all give standout performances despite the limited screen time they are given. I should love this film. Historical drama? WWII setting? My favorite director Christopher Nolan? Amazing cinematography? Superb performances from an ensemble cast? All of these elements made me sure I would love this going in. But, Dunkirk's lack of emotional connection severely detracts from the awe-inspiring scope and technical prowess displayed. If I reviewed based on visuals alone, this is a slam-dunk, walk-off home run of a 5-star film. While a focus on grandeur and situation over character depth and emotion may work for some (it obviously worked for 98% of critics on Rotten Tomatoes), it did not work for this critic.This is without a doubt a cinematic achievement, but without an emotional core, it's impossible for this film not to feel cold and empty. Despite being a technical masterpiece, this is Christopher Nolan's most disappointing film yet."
3," Did I see a different movie than everyone else that has raved about how good it is?
","I was very disappointed with this movie. I have liked previous Nolan movies but this one left me feeling cheated that I had spent that much money to see it. It was boring and unrealistic.One scene had a ship getting hit with a bomb and immediately rolling on it's side then remaining afloat.At the end a plane runs out of fuel and seemingly defies the laws of physics by gliding forever and ever shooting down a plane before landing on the beach. They kept showing shots of the beach with lines of soldiers that nowhere approximated over 400,000 soldiers. Same with the amount of ships and boats and planes. The hype of this being one of the best war movies ever had me expecting something special. Instead it had me sitting there wondering when the fantastic movie was going to start. I waited in vain. Instead I left the show with a headache from the noise bombardment from the soundtrack.My biggest sense of wonder was that they had spent that much money making it. I wanted to like this movie but it never happened for me."
4," Put Down the Kool-Aid
","Given the outright gushing of critics in praising this film, I was quite surprised to discover Dunkirk to be not only not deserving of such praise, but even worse, to be a cacophony of minimalist nonsense, topped off by one of the most ridiculous film climaxes in recent memory (more on that later). ""Possibly the best war film of all time?"" Not quite, I could name dozens better. In fact I struggle to think of many that are worse than this. My goodness, where to begin...First I do not understand where the $150 million budget was spent. The actual story of the Dunkirk evacuation involved - literally - hundreds of thousands of men, and hundreds of boats and planes. In this film, we see....a few hundred men? 30 boats? Something like six planes? Where is the grand scale that a story like Dunkirk deserves, or really, demands? There was no grand scale. That is a heinous omission and oversight and ultimately fails to tell the story of Dunkirk as it should be told. And if you don't want to use CGI to achieve that scale, that's fine, but then either expand the real numbers of extras and props so it replicates what Dunkirk was actually like, or, don't do the film. A few soldiers standing around on the beach looks incredibly silly when the characters say on more than one occasion that there are over 300,000 men there. Where are they? We never saw them. Ludicrous.Similarly, we see a few boats here and there, and a few planes. This does not come close to approximating the flotilla of ships, boats and other watercraft used - in reality over 800. It's hard to appreciate what a tremendous achievement the Dunkirk evacuation was - ultimately, the aim of this film I suspect - when we never actually see that achievement occur. We see a few boats and few planes. Literally a drop in the bucket of what Dunkirk was. Yet at the conclusion, as the men are disembarking, back safe in England, we are supposed to be swept up in a swelling feeling of appreciation for something that we never actually witness. Very bizarre.The soundtrack, if you can call it that, was an escalating collection of random and intrusive blaring instruments that can be best described as 'noise.' I have no idea what the goal was there. Perhaps it was an attempt to convey what one might feel, the intense experience one might have, if he or she was in a war-time situation like this. Perhaps. A professional critic called it 'bombastic' and that's probably being generous. I am not lying when I tell you I had to take an Advil when I got back from the theater, thanks to the crazily escalating noise that overwhelms the latter part of the film. Yikes.As for the climax, the scene of a Spitfire seemingly free of the laws of physics and gravity is bereft of all logic, and was such an eye-rolling piece of nonsense, no amount of criticism on my part can do it justice. Let's just say planes cannot keep flying indefinitely, much less maneuver and successfully engage other aircraft, when that plane has run out of fuel. The film deserves to be panned for this ridiculous scene alone.This is not a great war film, it's not even a good war film. It is not typical or traditional story-telling, I will give it that. There are stretches of this film that lack dialogue and there is zero character development. While different, that's hardly unique (it's been done before). Perhaps some critics haven't understood that 'different' does not automatically translate to 'good' or 'great' - sometimes, it does not.Put down the Kool-Aid. As my brother said to me when we walked out of the theater last night, ""Assuming I would like this, I thought I would go see this again over the weekend. Not only am I not doing that now, I won't even bother watching this once it's on cable or Netflix."" True that, bro. 5/10."
5," A truly boring and tedious movie.
","As a regular movie goer I was naturally looking forward to seeing what all the hype was about in regards to ""Dunkirk"". Well I was sorely disappointed, and came away frustrated at what the director could have done with such a large budget, instead of the tedious film he gave us. Within the first 10 minutes we find ourselves on the beach, together with lines and lines of soldiers facing the water, waiting for the boats to collect them. Never mind the fact, that the boats had not even left England yet! Needless to say, the soldiers were completely unprotected in the open, and made for great target practice for the German planes above them. I found the lack of character building to be an enormous let down. Whilst there were three mini plots, the soldiers being evacuated, the trio of Spitfires, and the one small boat with the man and his son, there was little or no interaction between the actors in these mini plots. I call them actors as we were never able to get to know them by name as such, and hence there were no characters in this movie per se. Kenneth Branagh spent the entire moving walking up and down the wharf trying to get the soldiers into whatever boats appeared. The supposed armada that was dispatched from the other side of the channel, never looked more than a bunch of mates out for an afternoon cruise.There were many scenes with little or no dialogue, which depicted what it was really like for mainly those on the beach, or in an unused trawler a group of them came across. Whilst these may have been realistic, we had no idea who the characters involved were, as we had no opportunity to engage with them throughout the film.There were many times when we switched from a night time scene to daytime one, and then back to night time, when supposedly all the action was taking place at the the same time. In my humble opinion, Dunkirk could have, and should have been an epic movie, but I'm afraid to say that I found it boring, tedious, and without character. I am well aware that I am in the minority with this opinion, but it really could have been so much better.Cheers,Hans"
6," Soul-less. Confused. Loud. Disappointing.
","Being an avid war film fan, I was beyond excited seeing the trailer for Dunkirk and couldn't wait until it hit theatres. To say I was disappointed is an understatement. By the end of the film, I was actually mad. I have to agree with some of the reviewers here who've stated that many of these glowing reviews are paid for, because what they're describing isn't even the same film.Before the artsy-fartsy daggers come out--no, I don't need tons of backstory to feel invested in the characters. It's war, it's brutal, and I can surmise what it must be like for these brave souls. But when I come out the film and can't remember a single character's name (or worse, even care about them), that's just crap storytelling. Art should inspire a connection. This left me devoid of anything to be honest.Scale...I may as well have been watching a tiny pocket of some soldiers, fighting some war, taking place somewhere. Part of what's so astonishing and inspiring about Dunkirk was its sheer scale. This insipid attempt to condense it to bite-sized POVs is insulting. You would expect at the end when the character (I literally can't remember his name) began reading Churchill's announcement to be roused by emotion. But since the film didn't generate any, and the delivery was so bland, it didn't even click with me what he was reading until I heard, ""We shall fight on the beaches."" Lastly, a film doesn't have to be linear so I don't mind differing time lines. This however, was like some art-house, ""look at how cool I play with time"" film school project. I'm sorry...GAWD I'm sorry... but this was bad. I think about 100+ reviews explained why it doesn't work.Storytelling has been used by our species for centuries to share POVs, be morality tales, entertain screaming kids who won't sleep...you get the picture. NONE of that happens if your audience doesn't connect with the story. This was an experiment and indulgence. A $150M indulgence and waste of viewers' time and money. Shame on you."
7," A visual wonder that lacks depth
","Christopher Nolan is a visual genius: this film is just stunning to look at. From the bullets flying near soldier's head to gorgeous explosions, it transports you right into the war zone within the first 10 minutes of the screening. Furthermore, it is an accurate description of the ""Miracle of Dunkirk"". This is where the movie nails it. However, apart from that, I've had a couple of issues with it.The film is told from three perspectives: Air, Mole and Sea. This is where the movie falls a bit short. The editing at some points feels lazy and not very consistent: it cuts from a dramatic scene or intense action scene very quickly. The film is told in a non-linear way: this makes us watch certain scenes twice through different perspectives. Although this could've been done in a very interesting way, it's very difficult to keep track of whose perspective we're watching at times. Even when certain semi-important (I'll get back to this later) soldiers die, it took me a while to realise this happened.This is where my third and final problem come into question: the characters lack depth. You don't care about the main character, nor any of the other soldiers that are dying. If I'm watching a film about war, I like to bond with the characters I'm seeing on screen. If none of them show any real emotion, the viewer won't as well.All in all, Dunkirk could've been amazing. I personally don't understand why it has such a high rating besides being directed by a very well-known director / starring famous actors (including infamous Harry Styles) / being a war biography. Disappointing."
8," In 2017, over 330.000 film viewers were stuck in a cinema, surrounded by boredom, can they be rescued?
","It's hard to understand critic ratings of 10/10 while this movie undeniably lacks quality on some very important aspects. Let me start off with some positive notes:IMAX: The impact of the bullets and bombs felt as if you were really there. The entire movie is shot in a very realistic way. Opening scene: The suspense, music and cinematography all came together very well in the opening scene, which really made me excited for the scenes to come.Acting: Poor acting can easily distract the audience from their experience of being in a certain time/place. But there was not a single moment in which an actor did something out of character. All expressions were very believable. Great acting!But there were some major aspects I had issues with:Characters: The characters did not have any background story and there's hardly any dialogue to give some insight. The main characters are therefore replaceable for any other random soldier on that beach. I do not expect an elaborate introduction of every character, certainly not in a historical war movie, but the downside is that the audience cannot empathize with the main characters. I really didn't care for one of them to die. I've seen hundreds of soldiers die in earlier scenes of the movie, why would one or two more (just as hollow and unknown as any other soldier) bother me a bit? It's no must to focus on character development, as long as the other aspects of the movie make up for the lack of it. In Dunkirk that sadly was not the case.Editing: Sometimes it was hard to follow which moment in time is shown, because the movie abruptly cuts between three perspectives, therefore even showing some events twice. I find this non-linear storytelling and continuity breaks unnecessary and poorly executed.Repetitive: Much scenes are identical or slightly different from another. Especially the flight scenes did not add much to the story. Instead I rather would've seen some scenes at the front-line with troops actually defending the beach instead of just a bunch of scared, helpless troops waiting for the next plane to fly over and bomb the shite out of them. Keeping out the Germans at the front-line is just as much a part of the story of Dunkirk and it would've given us a chance to actually see the enemy and get some awesome battle scenes. Music: Usually I enjoy Zimmer's score. But in this movie there was no moment of silence, not a moment to break the suspense. Especially in IMAX, my ears were buzzing hours after I left the cinema. Was this intentional? Was it supposed to feel like one big action scene without any breaks, to get the same feeling of those soldiers, trapped between battles unable to take a break, constantly in stress of a nearing attack? Well, than Nolan did succeed. But I found it very annoying. Overall I believe this movie is highly overrated, due to many biased Nolan fans and critics blindly hopping on the hype-train. I found it a very boring movie. The lack of an interesting plot or any interesting characters sadly wasn't compensated enough by the impressive audiovisuals. Rescue yourself from boredom and don't watch this movie!"
9," Drama War
",This film shows that Christopher Nolan does not only depend on crazy action or crazy plot twist. He shows 3 separate stories that come together and tells us a good story.
