,title,review
0," Just kept waiting and waiting and waiting and waiting
","I love Tarantino. I was super excited to see this. The movie started. And then it went. And I waited for the plot. And then it came and went within the last 15 minutes of the film. Then I left confused and a little disappointed.The movie just felt like Tarantino wanted to show off how much he knows about film history and how nostalgic the old Hollywood made him feel. The acting was amazing. The cinematography was amazing. The storyline just wasn't there though. I want to say I loved it so bad but it just felt so flat to me.The characters didn't really develop at all. Leo's character just kind of changed halfway through with only a narration as to why he was different. Brad Pitts character was the exact same the entire film. Margot Robbie's characters development was that she finally said like 20 words at the very end.The ending was the most enjoyable part without a doubt. That felt like a classic Tarantino scene. The rest of it though just felt like a normal movie. The dialogue didn't feel like him to me for the most part, with the exception of a few scenes. The soundtrack was phenomenal and caught the vibe of the movie flawlessly.Maybe I was just hoping for more or maybe I missed out on something. It was an enjoyable movie, but it just felt off to me. I really hope he will make a final movie to end his career with a bang, because this is not the one"
1," Not for everyone
","The first 2 hours is only for lovers of everything late 60s retro,great cinematography and outstanding acting.The last 45 minutes fasten your seatbelts because classic Tarantino kicks in."
2," A movie that will be misunderstood
","Here's why not everyone will like this movie: it's not like all of Tarantino's other movies, and it's not like any modern movies either. Once Upon a Time in Hollywood is a melancholy, slow burning, comedic love letter to an age of Hollywood that we find ourselves disconnect from nowadays.The point of this movie isn't to be just like Pulp Fiction and tell stories that have no meaning. In fact, I would argue that Tarantino wants each and every story to have a meaning. Rick Dalton (Leonardo DiCaprio) is a faded action star struggling to hold onto his career and fame. Every scene he was in was enjoyable, as he internally argues with himself to be better than he is. He can't find work except for as a typecast villain, and turns down an offer to go overseas initially because he thinks it's too far a step down from his past career. Dalton's story was not as fun to me as his stunt double, Cliff Booth's (Brad Pitt), but I will get to that in a minute. Dalton's story, some will say, was boring, overdrawn, and pointless. I say it was the most important and interesting storyline in the movie. Rick is an alcoholic, and deals with a lot of anger towards himself, particularly in his trailer (you'll see what I mean), and the long scenes showing him act out his part as the villain in the western are extremely entertaining as DiCaprio does some brilliant work letting us see Dalton as an actor without losing touch with him by slipping into acting of his own. He finally decides to go overseas, but most of that time is spent in a montage. When he returns, he dons a new Italian wife and an entirely new fashion straight from Europe. He doesn't do much towards the end, except for burn a manson follower alive in his pool, and then he finally becomes friends with his neighbors. I'll also get to that when I talk about Sharon Tate. Rick is representative of Hollywood at the time of 1969, and unless you are familiar with film history, that will be lost on you. In 1969 movies like Easy Rider, Bonnie and Clyde, and The Graduate were changing the face of Cinema by eroding censorship codes and finally getting the studios to hand the reigns to directors, thus entering the age of auterism. Actors like Rick were becoming absolete in film for a number of reasons, but mainly that they hadn't had to search for work whilst under the studio system, they just signed a contract and found work immediately. Roman Polanski, his neighbor, was one of the directors that was now given a lot of free reign in this age, . Dalton's character expressed the frustration many probably felt at the time, and Tarantino built a character that was beautifully acted by DiCaprio.Cliff Booth on the other hand, was the most Tarantino character in the movie. I think he'll be the fan favorite, because he requires no historical context or empathy to understand. He's a stunt double who lives much worse than his star, Dalton, and is a no-no sense badass with a muddled past. His scenes were incredibly fun, as Pitt brought a certain energy to each scene that glued you to the screen waiting for his next move. Particularly at the end, when Tex had him at gunpoint and he was tripping on acid. Obviously he had the situation under control, but we as the audience have no idea until he sicks the dog on them. Booth was a character you expect to see in a Tarantino movie. None of his storyline was used for what people will say is ""pointless"", mainly because he is the most involved with the Manson clan.Interestingly, the Manson clan is hardly shown in the movie. Charles himself only shows up twice, and only says a few words. I actually like this choice, because it left a lingering thought that perhaps Manson was a danger at all times, and didn't play to the audience the way we thought it would. It wasn't a story about the Manson murders. Manson just happened to be going on at the time Dalton and Booth were having their struggles, and it intersected.Which brings me to my last point, and that is of Sharon Tate (Margot Robbie). Her role, while a tad less utilized than I expected, was Central because the real life Tate was murdered by the Manson clan. If you go in as an audience member with that knowledge, you go the whole movie waiting for something to happen to her, and it never does. Tate herself was a happy, blooming actress who spent time with friends and danced (a lot). This carefree manner was underlying a want to be famous, as she tells people who she is and is clearly disappointed when they don't recognize her. Tate plays a role in this story of showing the era of actors now replacing Rick Dalton, and also showing special to Hollywood, the silver screen's allure. As this is essentially a long love letter to Hollywood, Tarantino pens what drew him to the screen through Tate.With all of its references, obscure or in your face, there is a delicious amount to absorb, especially for cinefiles. Tarantino has the viewer to sit back, eat up the screen, and imagine we are right there with the characters in a wonderfully painted portrait of a Hollywood long gone. This movie will be misunderstood because of the expectations for the Manson murders, and because audiences nowadays expect action on every corner, which Tarantino's name can be attached to in some capacity. Without any crazy special effects to speak, simply a fantastic script and acting, I think many audience members will get bored or not understand why it's entertaining to others. I personally think it's one of Tarantino's best, if not his absolute best, and will stand the test of time for movie lovers everywhere. Agree or disagree, we all have to admit that Brad Pitt's dog was awesome."
3," A love letter to a film industry that is no longer recognisable.
","It took Quentin Tarantino a lifetime of living, 5 years to write and a 2 hours 41 minutes watch. This is a love letter to a film industry that is no longer recognisable. Hippies, short skirts, westerns..... all have disappeared from our movie world. But worry not, Quentin Tarantino is here to remind us of old school film making from a once beloved industry which has been described as being on life support.The performances are flawless. I was apprehensive about how the events of August 8, 1969 would be handled. But that is handled tastefully and respectfully, yet with the classic Tarantino flair.Will be quite a bit for those under 40 who have no recollection of this Hollywood. Some will categorise this as an over indulgent nostalgia trip for movie geeks. And they are likely to be correct. But for those of us who complain that Hollywood is reduced to remakes and comic book films, QT delivers a unique and creative viewing experience."
4," Pains me to write this
","I LOVE QT films and couldn't see this movie fast enough. All I can say is what was that all about? It was so boring. Did anyone edit this film? Leonardo's character was not likable. The only person tolerable was Brad Pitt. Nothing happened what so ever. The dialogue was not clever. The movie never went anywhere at all. It was just endless scenes of other movies being made. People driving in cars. Bare feet over kill. By the time the ending happened I didn't care anymore. I wanted to LOVE this movie, but I haven't been this bored in a long long time. I wish i felt differently."
5," The Emperor with No Clothes
","It reminds me of that old fable. People go to see Brad Pitt and Leonardo DiCaprio in a film by Tarantino and assume it has to be great despite what they are actually seeing on the screen.. The film is incredibly slow paced and neither funny nor suspenseful. Throwing in a 5 minute fantasy violent scene at the end after over two hours of boredom did NOT make me change my mind..
Sadly disappointing to this fan of most Tarantino films."
6," I'll keep it simple..
","If this script (if it could be said to be a script) had not been from Tarantino, it would have never reached theaters (and perhaps not even on cable television movies).Long, boring and pointless."
7," One of the Tarantino's worst (if not worst).
","Cinematography - great, acting - great. Music- reused already written works. Plot - none. Just almost 3+ hours worth of some random scenes stiched together without leading anywhere. Watched it twice. Has not changed my opinion. By the time it ended I did not care anymore, I just wanted to pee!!! After sitting there for almost 3 hours. What was the point of this movie? Still wondering.
One of the Tarantino's worst (if not worst!)."
8," Best Movie I Have Seen In At Least 10 Years, Should Be Seen Twice, BIG SPOILERS
","I have seen this film twice in the last two days, I probably will see it many more times.Tarantino has shocked and surprised me before, but this was the biggest shock of all. The movie is set in the Hollywood of 1969, just before the brutal Manson family murders.Leonard Dicaprio and Brad Pitt give career high performances. Dicaprio is Rick Dalton, a TV cowboy actor who longs for movie stardom but has now hit the skids. Pitt plays Cliff Booth his stunt double/driver and all around best bud. They also represent doubles of each other in real life, though Dalton is angry and frustrated at his failings in life while Booth is perfectly happy to be his pal's gopher and handyman. There is good recreations of TV westerns of the time, Dalton had been the star of ""Bounty Law"" a show that never existed but is clearly based on Steve McQueen's ""Wanted Dead Or Alive"" series. Dalton is now playing guest role villains on TV. An actual series ""Lancer"" is recreated here, I never saw this show when it aired since it was on up against ""The Mod Squad"" in the late 1960s and early 1970s. Dalton has some funny and touching scenes opposite a precocious 8 year old actress while doing the ""Lancer"" episode. The late Luke Perry has his final film appearance in these scenes also.Margot Robbie has an almost magical presence playing actress Sharon Tate. Tate unfortunately is best known today as the most famous of the Manson family murder victims. We see not only how beautiful she was but also how good and kind she was as well. One of my favorite scenes is when she goes to a movie theater to watch ""The Wrecking Crew"" a film she made in 1968 with Dean Martin. We see actual clips of the movie, (with the real Sharon Tate) and cuts back to her reactions, she becomes delighted when the audience laughs at her comedy bits and applauds at her fight scene with Nancy Kwan.The film starts to turn dark when Cliff picks up a teenage girl hitchhiker who wants to be taken to Spahn Ranch, a run down movie set where he once worked. I have read nearly everything about the Manson case, so I knew where it was going now. Cliff sees a bunch of mostly hippie girls hanging around and asks if George Spahn the original owner of the ranch still lives there. The scenes at the ranch are quietly disturbing. Dakota Fanning (I did not recognize her) plays Squeaky, one of the real life Manson girls. Her vacant eyes and cold manner make for some suspenseful moments. Cliff is concerned about his old friend George and demands to see him. He finds him now old and blind (Bruce Dern in a great cameo) but at least alive. Cliff is still suspicious but leaves the ranch.The final act comes up for the biggest shock of all. Rick has returned from several months filming some spaghetti westerns in Italy.He has also gotten married to an Italian actress. It is now August 8 1969. Cliff and his faithful pit bull Brandy are staying the night at Rick's house. Sharon Tate and some of her friends arrive at her home (which is right next door to Rick) to spend the evening together. Then Manson followers Charles ""Tex"" Watson, Patricia ""Katie"" Krenwinkel, Susan ""Sadie"" Atkins and Linda Kasabian are driving up the road. I knew what was coming and was dreading this moment, I was hoping that Tarantino would not show the gruesome murders but I was preparing myself.
Then Rick hears them driving up and has an angry altercation with them, then I was a bit surprised that real life characters were suddenly intermingling with fictional characters on a night when a horrible historic moment happened. When Rick goes into the house, the killers suddenly realize that he was the star of the TV show ""Bounty Law"". Then psycho Sadie goes on a rant about how TV showed her generation how to kill by showing murders every week on the small screen. I had heard some Manson followers had actually said this. Linda is too scared to go with the other three and takes the car keys and drives off leaving them. Another change in the real story, Linda did not participate in the murders but did stay with them, so once again I am getting bewildered. Tex, Sadie and Katie than decide to go to Rick's house rather than Sharon's. I am wondering are they now going to kill them also? Then the most surprising thing happens, Cliff, his pit bull and Rick decide to fight back against these scummy creeps leaving them to be battered and massacred. Brandy has some great scenes as one of the most heroic dogs I have seen in film. My head was reeling by this time, I kept thinking ""Are they really doing this?"" Then came the ending, Rick is now safe, Cliff injured but alive. And now Rick gets to meet his next door neighbor Sharon and her friends. I am still in shock but then for the first time we see the title on screen ""Once Upon A Time... In Hollywood"" and then I finally get it, this is a Hollywood story not real life, this is what we wish would have happened.I finally had to see the film again for a second time so I could actually enjoy that climatic scene, without the dread and confusion I had the first time.
This is a phenomenal work, like nothing I have ever seen and probably never will again."
9," No spoilers
",I can't spoil this movie because there's nothing to spoil!!! No plot. Nothing happens. If I submitted this same screenplay to Hollywood it would get rejected.
10," Flagrant Tarantino Fame Abuse
","If a no name writer came with such non-sense, their script would've hit the bin within the first ten pages. The script mocks every theory on character and plot development. Yet, the same gurus who would trash a rookie script writer for bringing anything less then perfect, are bowing now in humble awe to the great QT. This in not about double standards, but about Hollywood having no standards at all."
