,title,review
0," Explanation Post
","Hello again folks. I enjoy leaving reviews for these mind twisting movies. Here I will do my best and explain the timelines of the 4 major characters. All characters go through a RED timeline and a BLUE timeline. RED is moving forward and BLUE is moving backwards in the RED timeline. I hope that makes sense. Here we go!1) The Sator Timeline. When he's a young man he finds a box while working in Russia. The box contains gold and the BLUE technology. He's on a mission to find pieces for a doomsday devise that wipes out existence. The last piece he needs is missing. He threatens Kat's life with the Protagonist. He uses the Blue technology to recover the missing piece. He now has all the pieces for the doomsday device. He than goes back to the day on the yacht in the RED timeline. The day where Kat sees SOMEONE dive off the boat and says he disappeared.2) TheProtagonist timeline. After the opening opera scene he is tortured, passes a test, and is recruited. He learns of the BLUE technology. He gathers information to lead him down the path and finds the missing piece for Sator. After Kat gets shot he then uses BLUE technology so she can heal. She can heal in the BLUE timeline because she was shot with BLUE technology. Only way to come back to the RED timeline was through another BLUE and RED machine. Only one he has seen was at the airport. So the Protagonist must get them back to the RED timeline using the airport BLUE and RED machine. Protagonist then goes back to the day of the yacht in the RED timeline. Where they remove the doomsday device before the explosion.3) The Neil Timeline. Neil helps the Protagonist in the now RED timeline. Not Neil's RED timeline but the Protagonist's RED. They find what they need to find. After Kat gets shot he goes into the BLUE timeline and along to the airport to get her through the RED and BLUE machine. He then travels to the day of the yacht in the BLUE timeline. As he is in the cave he sees another BLUE and RED machine. Knowing that they caved in the tunnel with explosives he needs to be at multiple places at once. So he then travels again through the BLUE timeline to intercept the Protagonist's failure so the Protagonist does not fail. He gets killed in the process. Keep in mind that when he went through the BLUE twice one of his selfs had to go to the RED timeline. This is where he meets up with them at the end. This is where the Protagonist realized he's dead and it was him who saved him at the opera house in the beginning.4) The Kat timeline. When she meets the Protagonist in the movie it's in the RED timeline. She tells a story about the yacht and she see a woman dive off the boat, the woman diver is herself. Later, Kat gets held hostage by Sator in the RED timeline. Sator is in the same timeline but in BLUE. After the Protagonist saves her they are both captured. Protagonist captured in RED and Kat is captured in BLUE. After she gets shot she heals (Airport scene). She then heads to the day on the yacht in the RED timeline. She sees her past self leave the boat with her son and sees Sator leave in his helicopter. Ok this where it gets tricky... Sator comes back but it's not the RED Sator it's the BLUE Sator from the highway scene after he got all the pieces from the doomsday device. The RED Sator left and the BLUE came back in the RED timeline. She kills him. She always killed him. She said earlier at dinner with the Protagonist that she saw a woman dive off the boat and her husband had disappeared. She killed him and slid him off the boat with the lotion she put on his back.Whatever happened was always going to and did happen. Neil says that a few times. But it wasn't until the end where he says it doesn't mean you should sit around and do nothing about it. Kat always kills Sator that day, Neil always dies that day.I hope that clears up some confusions. I did my best without going into the smaller details. Please react if this was helpful or not. Thank you reading those that made it until the end."
1," Necessary to watch twice, preferably with subtitles.
","Its somewhat ironic that a movie about time travel can't be reviewed properly until your future self rewatches the movie.It's bold of Nolan to make such a thoroughly dense blockbuster. He assumes people will actually want to see Tenet more than once so they can understand it properly, which some may not. This movie makes the chronology of Inception look as simplistic as tic-tac-toe.Ergo, it's hard for me to give an accurate rating, without having seen it twice, as I'm still trying to figure out whether everything does indeed make sense. If it does, this movie is easily a 9 or 10. If it doesn't, it's a 6.It's further not helped by the fact that the dialogue in the first 15 minutes of the movie is painfully hard to understand / hear. Either they were behind masks; they were practically mumbling; the sound effects were too loud; or all of the above. The exposition scenes are also waayyy too brief for something this complex -- a problem also shared with Interstellar actually.(Interstellar had this minimalist exposition problem explaining Blight, where if you weren't careful, you'd miss this one sentence / scene in the entire movie explaining that Blight was a viral bacteria:""Earth's atmosphere is 80% nitrogen, we don't even breathe nitrogen. Blight does, and as it thrives, our air gets less and less oxygen"").I guess it's a Nolan quirk. Hopefully, a revision of the film audio sorts the sound mixing out. I do like the soundtrack, but it's too loud initially.I liked all the actors. You think John Washington can't act at first, but he can, and he grows on you as the film progresses. And Pattinson is his usual charming self. Elizabeth is a surprise treat. And so on.Its worth a watch either way. See it with subtitles if you can. And definitely don't expect to fully understand whats going on the first time around."
2," I think I'm dumb
","Well, I've always known I was a little slow to the party but this movie was hard to follow! It might have been the cinema sound mix but my wife and I kept asking each other what they were saying.. the script was hard to hear let alone understand in its abstract form.. we got the gist of the concept but was still hard to piece everything together in the end! I think it's a movie that requires a few watches to wrap ya head round it, but then again i am a little slow.. lol"
3," Loud and impenetrable
","A man on an international mission to save the world from the deadliest weapon of all, the future.Two moods: excessive incomprehensible exposition and LOUD incomprehensible action sequences. At no point do you know what is going on, nor are you given any reason to care. It is at all times tedious, meaningless and irritating. None of the characters are remotely interesting, much of the dialogue is inaudible and the ridiculous convolutions add up to nothing. And this cost over $200 million to make."
4," Why does a film need multiple watches?
","As the first scene of Tenet came to an end, I looked at my partner and whispered, I'm lost. I'm lost and I don't think I'm ever going to get it.And I was right. What followed was two and a half hours of just an unreal amount of exposition that was distorted by music of SFX. If a film has to be explaining stuff to it's audience at the two hour mark then you've gone wrong. Plain and simple, I don't care if you're Christopher Nolan.Everyone I ask afterwards says that I will get it on the second, third or fourth try. Why does a film need multiple matches to understand it? Nolan is a huge advocate for his films to play in cinemas, which is great, but he must be detached from reality to think that most audience members can afford to go see the same film countless times, with the increasingly expensive movie tickets.Regardless of that, It's good that it was an original idea. But my god, if an unknown filmmaker had turned in this script to a production company, I'm pretty sure they would have thrown it away after 10 pages. The premise is cool, the effects are cool, but that is what you expect from a Nolan film. What I'm also coming to expect is a convoluted plot, terrible dialogue, and a film that will still hit over a billion at the box office."
5," Disappointing at first watch, Masterpiece at second. Just a little bit loud
","Its one hell of a complicated film. It will be very hard for an average viewer to gather all the information provided by this movie at the first watch. But the more you watch it, more hidden elements will come to light. And when you are able to put these hidden elements together. You will realize that this movie is just a ""masterpiece"" which takes the legacy of Christopher Nolan ForwardIf I talk about acting, Then I have to say that Robert Pattinson has really proved himself as a very good actor in these recent years. And I am sure his acting skills will increase with time. His performance is charming and very smooth. Whenever he is on the camera, he steals the focus
John David Washington is also fantastic in this movie. His performance is electrifying, I hope to see more from him in the future. Other characters such as Kenneth Branagh, Elizabeth, Himesh Patel, Dimple Kapadia, Clémence Poésy have also done quite well. And I dont think there is a need to talk about Michael CaineTalking about Music, its awesome. I dont think you will miss Hans Zimmer's score. Ludwig has done a sufficient job. There is no lack of good score in the movieGotta love the editing and post production which has been put into this movie. I think its fair to say this Nolan film has focused more in its post production.
The main problem in the movie is the sound mixing. Plot is already complex and some dialogues are very soft due to the high music score. It makes it harder to realize what is going on in the movie. Other Nolan movies had loud BGM too. But Audio and dialogues weren't a problemMy humble request to everyone is to please let the movie sink in your thoughts. Let your mind grasp all the elements of this movie. I am sure more people will find it better. Even those who think they got the plot. I can bet they are wrong."
6," Confusing
","I have honestly never felt so confused after watching a film, a lot of people saying watch it twice but I couldn't put myself through that again.
The idea is good.. but they have made it far too complicated, a bit pretentious and unfortunately no real heart to any of the characters. Disappointed."
7," Vrummmmmmmmmmm brummmmmmmmmmm
","Background music is so loud, and most of the actors mumble their lines. Guaranteed headache and impossible to understand the plot."
8," Lots of potential, but chaotic and at tee end, unsatisfying
","I am a big Nolan and Sci-Fi fan, and there's no question serious effort went into this movie. No question, the visuals were great, the acting was great, but the editing, PLOT and over-all effect was simply unsatisfying.The plot is full of discontinuity and random plot elements, and the main time reversal issue is never adequately explained, resolved or identified, and even the cryptic ""Tenet"" keyword never seems to appear outside of the trailer cuts. The most annoying aspect was the often incomprehensible audio, due to masks and bad editing, that made many key moments a total mystery.The plot is also littered with bad science of every possible kind, random statements that simply make no real sense (even using the odd time scenario) , and when viewed as ongoing story make you stop and say, how did we ever get HERE? The gun and bullet demonstration really sticks in my mind as total and complete cinematic plot garbage.I don't doubt this could have been a masterful movie, but unlike Memento or Inception, the script and story continuity were simply not up to the complex story task. The one word that sticks in my mind about this movie is disappointing. After the long delay, i really expected something a lot better than this. Maybe a later edit will fix this, but it certainly doesn't need to get any longer."
9," As a massive Nolan fan, this film is almost perplexing to the point where it's just plain ridiculous plotting.
",Listen we all know Nolan swings for the fences of what's possible and pushes the realms of normality. This film for whatever reason just doesn't mesh together the way most of his films do even with complex suspension of disbelief aspects. It's often scattered and juxtaposed to a near outrageous level. The visuals are spectacular at times but also seem way too extravagant to take seriously other times. Robert Pattinson is flawless and probably the standout of the film with his vigorous performance. The same cannot be said about John David Washington's barren and emotionless lack of effort. I can't believe he was given the starring role. He brings the interest level down to almost unwatchable levels. Overall this is one of Nolan's rare misfires which he is capable of once in awhile.
