,title,review
0," So bad that I almost walked out of my own house!
","The first one was fun and well played out. This sequel is a total misfire. Not because it follows the trend of having women being the alpha characters and portraying men as either weak or stupid, but simply because it's a lazy effort. Except a couple of scenes, and hilarious over-the-top acting by Pedro Pascal, I found nothing here. It has ""straight-to-DVD"" written all over it."
1," Must have seen a different movie.
","Saw an advanced screening - this was the most excited I've been to see a movie in a very long time. It appears I'm in the minority who found it to be, frankly, terrible. While the performances of the leads were enjoyable, I found the movie's writing and direction so flawed as to be practically unwatchable.Gadot continues to embody WW laudably, if leaning at times toward overacting. Pine is effective as the ""fish out of water"" launched several decades into the future, even if some of his comedic moments with Gadot fall flat. Pascal plays a classically over-the-top 80's villain with enthusiasm - it seems he relishes every moment getting to play a bad guy. For me, Wiig gave the strongest performance of the first act - her comedic timing is given plenty of time to shine, and the audience has ample opportunity to empathize with her. Unfortunately, these four performances were not enough to dig this film out of the hole the writers created.Written with an over-inflated sense of self-importance, riddled with clunky dialogue trying desperately to convey depth and universal truths, the end result is an endless stream of cringeworthy, eye roll inducing lines that are so on the nose I wonder how they made it out of the writing room. At no point does the film treat its audience with intelligence, opting instead to spoon-feed every concept. How do they convey that WW is not only an action hero, but an advocate for the humanity in all of us? By forcing her to deliver gems like ""But Barbara, what about your warmth? What about your humanity?""Further issues, presented as they occur to me as I tire of reflecting on this mess:Why is the heist scene so intentionally campy? The movie is *set* in '84, not *made* in '84. Fortunately the remainder of the film abandons this style.Their *most* creative way to sell Barbara as awkward but likable is to have her drop her briefcase of papers? Couldn't come up with something original?All Smithsonian employees have access to an unguarded airfield? A WWII pilot can understand the controls?No fully-fueled fighter jet has a range to fly DC to Cairo.WW has only ever vanished a coffee mug in all her trying, but can suddenly vanish the jet ""because she must"".""I know we're racing against time to save the world, but let's go fly through some fireworks. It'll look cool, promise.""One moment WW can effortlessly sprint pushing a disabled armored vehicle down the road, the next she can't push two of them apart with all her might.The moment she rolls along the road with the two children in her arms is astonishingly poor CGI. Throughout the film, the most obviously CGI'd elements simply have no weight to them.Don't play the audio of Steve's ""how to fly"" speech over the moment WW takes it to heart and learns. Trust your actors and audience. Show, don't tell.Max didn't think to steal health in return for wishes until the end of the third act?Cheetah has practically zero screen time to pose a real threat. One fight and she's dealt with handily.Hundreds of nukes launched, and they don't vanish - they crumble in mid-air. This is somehow not a problem for the planet?Returned to the white house grounds, Max somehow lands within yards of his son who has been wandering abandoned highways?Linda Carter's cameo was *painful*. If she didn't actually smile and wink into the camera, it sure as hell felt like she did. I won't be re-watching to find out for sure.I'm tired of griping. I wanted so badly to like this continuation of the DCEU. I'll be there for the next one hoping for better, but my god was this a disappointment. I saw the movie for free and the cost was still too high."
2," Horrendous
","First off, I loved the first movie and was looking forward to the sequel. That being said, this was a disappointing convoluted mess. It's like a train wreck and a dumpster fire had a baby, then the baby puked and that puke became this movie. Seriously, what were they thinking with this script? So many talented actors and so much wasted potential.So, because the script says so, Diana can make things disappear at will? She can swing from lighting with her lariat? She can block and catch bullets with her lariat? She can attach and swing from airplanes that are at cruising altitude while she's on the ground?! All of these exaggerated abilities while she's supposedly losing her powers? Another thing, her suit was supposed to be powerful, yet it crumbled like tinfoil during her five minute fight with Cheetah. What was the point of her wearing it then if she was back at full strength?Max Lord's character was laughable. The stone wasn't crumbling with every wish, so why was he getting sick after granting wishes even though he became the stone? None of this lunacy made any sense whatsoever.This movie was so bad that I walked out of my own house. Seriously, skip this and watch the first movie."
3," Makes Justice League and Suicide Squad look Oscar worthy
",I have low expectations for DC movies. Some have delightfully surprised me. This falls flat on its face after 15-20 mins and never gets up...or even TRIES!! It felt rushed through production (definitely not in watch speed...). It was boring when their wasn't action and when the action started it was so fake it was distracting. Gadot and Pascal try and maybe have moments that don't suck. Wiig was...well exactly how you would expect her in an action film as a villain.To say the movie is disappointing is an understatement which is sad considering I had zero expectations going into it. Glad it was streaming so I didn't have to waste money on a movie ticket.
4," Utter disappointment
",I've been eagerly waiting for this. I made a great lunch of Christmas Eve leftovers and sat down - ready for a great movie.This movie is utterly ridiculous. From the moment it starts it comes off almost as a parody. The open scene is very childish. Way too on the nose with its moralistic foreshadowing. The following failed heist is equally juvenile - taking place in a mall and is just plain silly. It's far from the grittier atmosphere that DC has been so good at recently.The interpretation of 80's culture is completely distracting and strips away any gravitas. Pedro Pascal comes off as laughable and inane. Wiig fairs no better and cannot pull off the baddie.It was hard to watch. I had hopes for DC but this one is a complete dud.
5," Sorry Patty, you tanked!
","I agree with the review ""utter disappointment"", I also read the Washington Post article. "" really getting to do whatever I wanted"" she said. And what a sad commentary that turned out to be. All of her characters, props and settings were ridiculous. Kristen Wiig injects one of her babbling SNL characters in her first scene. A super villian she's not, even for comic relief. And where is the strong empowered woman that encourages other women to use their own powers? Then there is that magic lasso, Diana might just as well sat and her desk in the museum and flicked it to and fro since it appeared to have an infinite length this time around. Placing the film in her memories of the '80s this might work for Coppola or Scorsese but one's sense of history needs to be able to look further into the past to develop a view. Was that President supposed to be Reagan, surely you could have found someone who actually resembled him. So much for '80s memories. The scenes of an injured and defeated WW were way to drawn out, and the computers of the day were only beginning to go beyond pixelated pictures. The technology of the day would not have been able to broadcast to the world. And Gal Gadots talents were never realized she just wasn't involved enough beyond window dressing, more attention was spent on the sets and locations. And what disappointment the release streaming and theatre distribution. Although I love theaters (I spent 35 yrsin the movie business) where I live they haven't reopened yet. THe streaming was terrible stop, stutter, freeze. fortunately the movie was so bad the pauses were a relief. I wonder what Bill Diehl or Roger Ebert would have had to say about WW84? I'm glad I watched the credits, I couldn't believe how many people were listed. But then Lynda Carter made an appearance. 15 seconds of Joy out of 2 and 1/2 hours."
6," Just read the other review. All true!
","Why is Warner Brothers hell bent on destroying a potential gold mine, that is the DC franchise. I thought they had finally sorted it with WW and Aquaman. But no, normality resumes. This movie was terrible at everything. Story, dialogue, acting, cgi. Just sell the franchise to another studio and give us DC fans a break"
7," From hero to zero in just two WW movies
","The 1st WW film was absolutely brilliant and had more ticks than a farmer's dog in my book. WW84 is, which truly saddens and maddens me, the polar opposite. It has a script so weak it should be classed as highly vulnerable, a plot that has more holes than my kitchen colander, and characters about as believable as a career politician.
I did love the opening island scene where the girl actress playing the young Diana was superb, and apparently did all her non-cgi stunts. But then it went downhill faster than an illiterate skier passing a 'Warning - cliff ahead' sign.
I won't go into detail over WW84s failings as I have a bus to catch...in a week, but I think I can reveal my favourite, jaw-dropping line from the film without it being a spoiler...'... I want to be an apex predator!'It certainly made me growl."
8," Rubbish film.
","Too long, too slow. Quite uninteresting. An absolute ton of plot holes. DC destroy another movie. Did Gal Gadot forget how to act? Don't waste your time."
9," Gal Gadot As ""Producer"": LMFAO
","This movie was so bad I can't put into words.Not just sequel bad. Bad. I love action and fantasy, but this sequel is so bad I can no longer watch the original.Music over the top. Acting non-existent/ Length felt like 6 hours and not in a good way.Don't understand people raving about it (Gal's agent?). They must be connected to the film somehow (I see they are throwing the director rightly under the bus).Save your money, watch the original seriesand don't let this ruin it for you like it did for me2 stars for the actress legs and hair."
