,video_id,commenter_channel_url,commenter_channel_id,commenter_channel_display_name,comment_id,comment_like_count,comment_publish_date,text,commenter_rating,comment_parent_id,collection_date,reply_count
0,Qypj9LrOpio,http://www.youtube.com/channel/UCW8jeWRtGf8hWMzbYB0cY9g,UCW8jeWRtGf8hWMzbYB0cY9g,Joel Solomon,UgzTGYdvwi2vW0MyYwh4AaABAg,0,1614544115.0,Chiwetely Jofer,none,,2021-03-08 16:22:13.785009,0
1,Qypj9LrOpio,http://www.youtube.com/channel/UCEGeWcM1yzJ9X2awvUgOxZA,UCEGeWcM1yzJ9X2awvUgOxZA,moviefan10,UgzdAuy2pMkMHLfSO5V4AaABAg,0,1613496845.0,i saw the trailer and didn't want to see it. then i went to the theater and loved it. one of scott's best films and one of damon's best performances.,none,,2021-03-08 16:22:13.785049,0
2,Qypj9LrOpio,http://www.youtube.com/channel/UCCXjBMUt5fKUOa-vONKb2Gg,UCCXjBMUt5fKUOa-vONKb2Gg,18661873,UgwKznAgWWqozhnuLRB4AaABAg,0,1612388172.0,"It would have been so much better if Matt Damon's character grew to like opera instead of disco.
It would have made so much more sense.",none,,2021-03-08 16:22:13.785076,0
3,Qypj9LrOpio,http://www.youtube.com/channel/UCAGPExz6R3xm54mBO2L9kvA,UCAGPExz6R3xm54mBO2L9kvA,Obi wan Kenobi,UgyuysVM07O-U11PE4F4AaABAg,0,1610116212.0,"“We can still go to the cinema and see a new film” Chris 2015

“Oh good for you” me 2020",none,,2021-03-08 16:22:13.785100,0
4,Qypj9LrOpio,http://www.youtube.com/channel/UCYV2sG7mrgXSu2rOVowIS7A,UCYV2sG7mrgXSu2rOVowIS7A,Mike McCormick,UgxOwA3CVk2motcVoVl4AaABAg,1,1608618488.0,"I thought this movie stunk , should have been called growing potatoes on Mars,  whoopee",none,,2021-03-08 16:22:13.785124,0
5,Qypj9LrOpio,http://www.youtube.com/channel/UCUvLI8mMLQB0EP6AZZWHsGQ,UCUvLI8mMLQB0EP6AZZWHsGQ,Sonia Igwe,UgyvGNAlfw25T_06ESB4AaABAg,0,1608061847.0,"Oh no💀💀💀
2:00 that is not how you pronounce it💀💀",none,,2021-03-08 16:22:13.785146,0
6,Qypj9LrOpio,http://www.youtube.com/channel/UC394abtpidcgcyB3ysrqC2Q,UC394abtpidcgcyB3ysrqC2Q,MrFlipperInvader792,Ugwha6DVeAEMreGlxpJ4AaABAg,0,1607620821.0,1:40 nice guy Matt being himself,none,,2021-03-08 16:22:13.785169,0
7,Qypj9LrOpio,http://www.youtube.com/channel/UCvVUKlnjWheV6BZK4ESxBGw,UCvVUKlnjWheV6BZK4ESxBGw,Miguel Branco,UgwU_A4p2BwCHdxltAt4AaABAg,0,1605892143.0,Hey Chris! Do a review of Mars Attack from Tim Burton! Ahahaha,none,,2021-03-08 16:22:13.785192,0
8,Qypj9LrOpio,http://www.youtube.com/channel/UC_JUmiP8oIOUEsc_uhoskUQ,UC_JUmiP8oIOUEsc_uhoskUQ,Paumonsu,UgyYl1qtzd8Bs4SOK7V4AaABAg,2,1604764670.0,This movie sucked,none,,2021-03-08 16:22:13.785216,1
9,Qypj9LrOpio,http://www.youtube.com/channel/UCo_qXtO6Ofi0UhWFMm0GEmA,UCo_qXtO6Ofi0UhWFMm0GEmA,Platypus Bear,Ugya5j8gJElNy_-ROf14AaABAg,0,1602174998.0,"I honestly didn’t like the movie, only because I read the novel first and the it was more comedy heavy and science heavy while the movie focused more on the story",none,,2021-03-08 16:22:13.785237,0
