,video_id,commenter_channel_url,commenter_channel_id,commenter_channel_display_name,comment_id,comment_like_count,comment_publish_date,text,commenter_rating,comment_parent_id,collection_date,reply_count
0,D2AjToBel_Y,http://www.youtube.com/channel/UCy3e1pmbWfrvP-TdQ5AmRLw,UCy3e1pmbWfrvP-TdQ5AmRLw,Lucas Mantovani,UgzORTzfElc6SKW7BDd4AaABAg,0,1615317863.0,The physics simulation in this movie is so bad,none,,2021-03-09 19:53:37.251966,0
1,D2AjToBel_Y,http://www.youtube.com/channel/UCy3e1pmbWfrvP-TdQ5AmRLw,UCy3e1pmbWfrvP-TdQ5AmRLw,Lucas Mantovani,UgxsOw4lun9dvOcH5rl4AaABAg,0,1615317772.0,I wish I could unwatch this movie. Soooo bad,none,,2021-03-09 19:53:37.252000,0
2,D2AjToBel_Y,http://www.youtube.com/channel/UCTYMF6Pq7UlJkWMee0kUQsw,UCTYMF6Pq7UlJkWMee0kUQsw,NatSpooki,UgyRtY15DFVr_6AVtaF4AaABAg,0,1615270951.0,"Wow, she can walk in heels, CHARACTER DEVELOPMENT",none,,2021-03-09 19:53:37.252039,0
3,D2AjToBel_Y,http://www.youtube.com/channel/UCSvZjvcLtuDGZUbQqDpElsQ,UCSvZjvcLtuDGZUbQqDpElsQ,Pari,UgyzcADHfKj1zveTTOJ4AaABAg,0,1615255137.0,I was very disappointed in Cheetah and the way they made her look. I'm such a big fan of Cheetah and was looking forward to seeing her in the movie. Even in the trailer I was somewhat annoyed. I'm sorry but I don't think Kristen was good for the role.,none,,2021-03-09 19:53:37.252064,0
4,D2AjToBel_Y,http://www.youtube.com/channel/UC-v6RN_4aKjhDMHrZsJ93hg,UC-v6RN_4aKjhDMHrZsJ93hg,GreaterBayArea Hero,UgxdVQr_DRCkpT13Mmh4AaABAg,0,1615249703.0,"TBH this movie is made for kids below 10 years old. When you are a seasoned critic, there are thousands of problems with is film. Yes this film is a bit of a disappointment. But thanks to you I will not watch it;)",none,,2021-03-09 19:53:37.252094,0
5,D2AjToBel_Y,http://www.youtube.com/channel/UCqpbzRo8o7NdA36D-PJ_A-w,UCqpbzRo8o7NdA36D-PJ_A-w,rurallaw youtube,UgzK27_ytCl11A3Y-Ex4AaABAg,0,1615243769.0,"I would have wished to watch Wonder Woman 1984, I think. Maybe?  I can't remember now.  Stupid wish mechanics.",none,,2021-03-09 19:53:37.252116,0
6,D2AjToBel_Y,http://www.youtube.com/channel/UClhhxuB2xPmH9cA21O2Bu0A,UClhhxuB2xPmH9cA21O2Bu0A,James edkins,UgxsxW72jbc-IIXnkdd4AaABAg,0,1615241269.0,no one gunna mention the obvious rag doll t posing child she saves when she does the roll in the military convoy chase scene? okay..,none,,2021-03-09 19:53:37.252139,0
7,D2AjToBel_Y,http://www.youtube.com/channel/UC5zWlC5PGorLDYKJHiUeeSQ,UC5zWlC5PGorLDYKJHiUeeSQ,maciek1929940,UgzR5jGZje9amyeiNVJ4AaABAg,0,1615238439.0,"Why everyones repeating that patty jenskins is great? She's done a couple of movies, two wonderwomen where one was terrible, other a bit over meh. I dont get it. Is it because she directed the first two episodes of the killing? That show was amazing, but not just the first two episodes, but the whole series.",none,,2021-03-09 19:53:37.252161,0
8,D2AjToBel_Y,http://www.youtube.com/channel/UCixdnoVimXRKq2NqHimwC_g,UCixdnoVimXRKq2NqHimwC_g,Dirk Digglah,Ugzbrdn9s07Y2MSSxfd4AaABAg,0,1615214410.0,"5 minutes into this film and I lost interest which is a shame because the first film was great one of it not thee best out of the DC Universe.

I couldn’t even finish it, It was just boring through out. I said when I saw Kristen Wigg was casted as Cheetah I had feeling it would be a flop. And she is a good actor but in a comedic way. She’s a comedian actor and just how it is.

Pedro did fine as a villain I guess

I didn’t understand why they brought back Steve just to tie off loose ends I guess?

Just wasn’t that appealing.",none,,2021-03-09 19:53:37.252183,0
9,D2AjToBel_Y,http://www.youtube.com/channel/UCBNbV2u49xY8ZP9ne_r7ixg,UCBNbV2u49xY8ZP9ne_r7ixg,Harsh Bhardwaj,UgwMNjtNN70vI2DLwAV4AaABAg,0,1615191520.0,"The fact that i watched it in 3 days, shows how good it was 😂😂",none,,2021-03-09 19:53:37.252205,0
